两心一般心，有钱堪买金。|两人一般心，有钱堪买金。一人一般心，有钱难买针。
相论逞英豪，家计渐渐消。|相论逞英豪，家计渐渐退。
笋因落箨方成竹，鱼为奔波始化龙。|笋因落壳方成竹，鱼为奔波始化龙。
记得少年骑竹马，转眼又是白头翁。|记得少年骑竹马，看看又是白头翁。
良药苦口利于病，忠言逆耳利于行。|忠言逆耳利于行，良药苦口利于病。
夫妻相和好，琴瑟与笙簧。|夫妻相好合，琴瑟与笙簧。
富贵定要依本分，贫穷不必再思量。|富贵定要依本分，贫穷切莫枉思量。
贪他一斗米，失却半年粮；|贪他一斗米，失却半年粮；争他一脚豚，反失一肘羊。
争他一脚豚，反失一肘羊。|
龙归晚洞云犹湿，麝过春山草木香。|龙归晚洞云犹湿，麝过青山草木香。
平生只会说人短，何不回头把己量。|平生只会量人短，何不回头把自量。
人穷志短，马瘦毛长。|人贫计短，马瘦毛长。
贫无达士将金赠，病有高人说药方。|贫无义士将金赠，病有高人说药方。
触来莫与竞，事过心清凉。|触来莫与竞，事过心头凉。
蒿草之下，或有兰香；|蒿草之下，或有兰香；茅茨之屋，或有侯王。
茅茨之屋，或有侯王。|
无限朱门生饿殍，几多白屋出公卿。|无限朱门生饿殍，许多白屋出朝郎。
千里送鹅毛，礼轻仁义重。|千里寄毫毛，寄物不寄失。
人生一世，如驹过隙。|一世如驹过隙。
良田万顷，日食三升；|良田万顷，日食三升；大厦千间，夜眠八尺。
大厦千间，夜眠八尺。|
千经万典，孝义为先。|千经万卷，孝义为先。
人间私语，天闻若雷；|人间私语，天闻若雷；暗室亏心，神目如电。
暗室亏心，神目如电。|
一毫之恶，劝人莫作；|一毫之恶，劝人莫作；一毫之善，与人方便。
一毫之善，与人方便。|
欺人是祸，饶人是福；|亏人是祸，饶人是福；天眼恢恢，报应甚速。
天眼昭昭，报应甚速。|
圣贤言语，神钦鬼伏。|圣言贤语，神钦鬼伏。
养兵千日，用在一时。|养军千日，用在一朝。
利刀割体疮犹合，恶语伤人恨难消。|利刀割体疮犹合，言语伤人恨不消。
苗从地发，枝由树分。|苗从地发，树向枝生。
学在一人之下，用在万人之上。|学在一人之下，用在万人之上。一字为师，终身如父。
一字为师，终身如父。|
莫怨自己穷，穷要穷得干净；|莫怨自己穷，穷要穷得干净；莫羡他人富，富要富得清高。
莫羡他人富，富要富得清高。|
别人骑马我骑驴，仔细思量我不如，|别人骑马我骑驴，仔细思量我不如。等我回头看，还有挑脚汉。
等我回头看，还有挑脚汉。|
十分伶俐使七分，常留三分与儿孙；|十分伶俐使七分，常留三分与儿孙；若要十分都使尽，远在儿孙近在身。
若要十分都使尽，远在儿孙近在身。|
好学者则庶民之子为公卿，|好学者则庶民之子为公卿，不好学者则公卿之子为庶民。
不好学者则公卿之子为庶民。|
只有和气去迎人，那有相打得太平？|只有和气去迎人，哪有相打得太平？
奉劝君子，各宜守己；|奉劝君子，各宜守己；只此呈示，万无一失。
只此呈示，万无一失。|
